enforcement_zone,hour,violation_count,avg_congestion_score,hourly_frequency_score,hourly_risk_score,recommended_time_window
"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",6,410,11.187170731707317,75.25756227929095,56.036444815015855,06:00 - 07:00
BTP045 - Danvanthri Road Junction,5,371,14.066280323450135,74.01090370912499,56.027516693422534,05:00 - 06:00
"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",22,361,13.640775623268697,73.67016932311725,55.66135121316268,22:00 - 23:00
"BTP001 - 10th Cross, Dr. Rajkumar Road",4,351,14.171367521367523,73.31988932521699,55.57533278406214,04:00 - 05:00
"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",19,209,25.782344497607657,66.86118560692891,54.537533274132535,19:00 - 20:00
"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",2,215,24.938558139534884,67.21343927356267,54.53097493335433,02:00 - 03:00
BTP038 - Mysore Bank Junction,4,300,13.7002,71.36272395842079,54.063966770894545,04:00 - 05:00
"BTP182 - 19th Main Junction, Rajajinagar",2,312,11.883301282051283,71.8515488702508,53.86107459379094,02:00 - 03:00
"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",7,323,9.77702786377709,72.28344725350615,53.53152143658743,07:00 - 08:00
BTP048 - Shanthala Junction,2,242,17.93206611570248,68.68621934449428,53.459973375856734,02:00 - 03:00
"BTP026 - 1st Block Junction, Rajajinagar",2,283,12.997773851590106,70.63578072008163,53.34437865953417,02:00 - 03:00
"BTP101 - Blood Bank Circle, KH Road",22,303,10.66924092409241,71.48673335402066,53.24148562504218,22:00 - 23:00
"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",4,186,22.62521505376344,65.41071451289658,52.57506467515663,04:00 - 05:00
BTP108 - Tagore Park Junction,5,259,12.478841698841698,69.53175422348062,52.415880466088936,05:00 - 06:00
"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",22,170,23.28805882352941,64.2922775359969,51.991011922256654,22:00 - 23:00
Unknown,22,198,18.82141414141414,66.1884269816561,51.9783231295835,22:00 - 23:00
BTP043 - Upparpet Junction,0,238,13.182983193277312,68.478676351987,51.889968404374095,00:00 - 01:00
"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",20,197,16.585380710659898,66.12543350719322,51.263417668233224,20:00 - 21:00
"Sahakar Nagar Road, Olivia, Raintree Boulevard, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",5,237,10.089367088607593,68.42624785490497,50.925183625015755,05:00 - 06:00
"Kadubeesanahalli Underpass, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",3,138,24.621304347826086,61.70154155686761,50.57747039415515,03:00 - 04:00
"Neeladri Road, Neeladri Nagar, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",7,227,10.020969162995593,67.88950544500878,50.528944560404824,07:00 - 08:00
"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",4,206,12.668495145631068,66.6812662692482,50.47743493216305,04:00 - 05:00
BTP104 - Medical College Circle,6,203,13.088029556650246,66.49872027926601,50.47551306248128,06:00 - 07:00
"BTP022 - Marenahalli Junction, Vijayanagar",5,213,11.625352112676055,67.09712049769918,50.45558998219224,05:00 - 06:00
BTP010 - Rajajinagar Entrance,5,190,13.978894736842106,65.67536308435646,50.16642258010215,05:00 - 06:00
"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",2,148,20.018108108108105,62.57023648896648,49.80459797470896,02:00 - 03:00
BTP137 - Madiwala Traffic PS Junction,19,152,18.93296052631579,62.90149237025413,49.710932817072624,19:00 - 20:00
"MBT Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",19,108,28.695462962962964,58.661450082771736,49.6716539468291,19:00 - 20:00
"Unnamed Road, Chikkanahalli North Taluka, Bengaluru, Karnataka. Pin-562149 (India)",23,189,12.32116402116402,65.60972420273606,49.62315614826444,23:00 - 00:00
"Railway Line Road, NGEF Layout, Benaiganahalli, Bengaluru, Karnataka. Pin-560038 (India)",1,128,23.388828125,60.76796049382648,49.554220783178536,01:00 - 02:00
BTP061 - Bhashyam Circle,2,188,12.046808510638298,65.54373894018973,49.4946598113243,02:00 - 03:00
"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",5,182,12.507802197802198,65.14034336899151,49.35058101763472,05:00 - 06:00
"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",4,177,12.997231638418079,64.79394508913542,49.25493105392022,04:00 - 05:00
BTP008 - Navarang Theatre,1,189,10.576931216931218,65.60972420273606,49.099886306994605,01:00 - 02:00
"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2,175,12.685028571428573,64.65265343626162,49.062365976811705,02:00 - 03:00
"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",2,133,20.243984962406017,61.24346182609519,48.94361876698844,02:00 - 03:00
"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",20,104,27.32730769230769,58.19394971797354,48.93395711027378,20:00 - 21:00
BTP071 - Prasanna Junction,6,180,11.385388888888889,65.00293343416187,48.91767007057997,06:00 - 07:00
BTP172 - Nanjappa Circle,23,179,11.440055865921789,64.93365803128997,48.88557738167951,23:00 - 00:00
BTP096 - Gali Anjaneya Temple,19,109,25.677614678899083,58.775644284977034,48.84623540315365,19:00 - 20:00
BTP063 - Siddalingaiah Circle,5,161,14.293913043478263,63.61621136455078,48.819521868229025,05:00 - 06:00
"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",23,77,35.61207792207792,54.47706368784259,48.81756795811319,23:00 - 00:00
BTP135 - UCO Bank Junction,6,155,14.602064516129033,63.144299576797955,48.58162905859727,06:00 - 07:00
BTP205 - Modi Hospital Junction,4,162,13.201666666666668,63.693160396528334,48.545712277569834,04:00 - 05:00
BTP054 - Shivananda Circle,2,157,14.007324840764332,63.30359062566189,48.51471089019262,02:00 - 03:00
"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",7,171,11.269122807017544,64.36518840283836,48.43636872409211,07:00 - 08:00
BTP208 - Havanur Circle,5,167,11.333293413173653,64.07095886925813,48.24965923243279,05:00 - 06:00
"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",1,134,17.602014925373133,61.33643012227809,48.2161055632066,01:00 - 02:00
"BTP204 - ESI Hospital, Rajajinagar",22,160,12.2465625,63.53878586494366,48.15111885546056,22:00 - 23:00
"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",5,157,12.191528662420382,63.30359062566189,47.969972036689434,05:00 - 06:00
"BTP170 - Dr. Bheem Rao Palace, Chord Road",21,145,13.603931034482757,62.31590545201758,47.70231312675713,21:00 - 22:00
BTP074 - Leprosy Hospital Junction,5,135,15.532222222222222,61.42871229932253,47.65976527619243,05:00 - 06:00
BTP028 - Vijayanagar Bus Stand Junction,4,151,12.248013245033112,62.81949746506529,47.648052199055634,04:00 - 05:00
BTP017 - Attiguppe Circle,6,165,9.196121212121211,63.92120644183107,47.50368087291811,06:00 - 07:00
"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",22,147,12.380068027210884,62.4860329503293,47.454243473393774,22:00 - 23:00
"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",5,107,21.2,58.54620338460731,47.342342369225115,05:00 - 06:00
"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",22,124,16.83814516129032,60.37409554674454,47.31331043110828,22:00 - 23:00
"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",19,111,19.965045045045045,59.00095088931464,47.29017913603376,19:00 - 20:00
"BTP117 - 9th Cross, Kanakapura Road",21,148,11.552635135135136,62.57023648896648,47.26495608281707,21:00 - 22:00
BTP069 - MC Circle,5,148,11.537432432432432,62.57023648896648,47.260395272006264,05:00 - 06:00
"BTP189 - New Diagonal Road, Jayanagar",3,135,11.804222222222224,61.42871229932253,46.54136527619243,03:00 - 04:00
BTP130 - GD Mara Junction,0,132,12.081818181818182,61.14979713169235,46.4294034467301,00:00 - 01:00
"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",20,104,18.645096153846154,58.19394971797354,46.329293648735316,20:00 - 21:00
"BTP095 - Satellite Bus Stand, Mysore Road",20,110,16.58809090909091,58.88880504131742,46.19859080164946,20:00 - 21:00
"BTP226 - 33rd Cross, 11th Main, Jayanagar",2,98,19.69295918367347,57.45819761823785,46.128626087868525,02:00 - 03:00
BTP068 - Veeresh Theatre Junction,5,126,11.916031746031747,60.572578733784525,45.97561463745869,05:00 - 06:00
"Veera Pillai Street, Nethaji Subhas Chadra Bose Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",3,141,8.640070921985815,61.96854483112625,45.97000265838412,03:00 - 04:00
"BTP206 - Shankara Mutt Circle, Vijayanagar",5,128,11.2534375,60.76796049382648,45.91360359567853,05:00 - 06:00
"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",4,82,23.57439024390244,55.2539705528757,45.75009646018372,04:00 - 05:00
"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",4,76,25.256315789473685,54.315717213933326,45.597896786595435,04:00 - 05:00
"Outer Ring Road, Vajram Esteva, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",2,94,19.031063829787236,56.94248831378069,45.56906096858265,02:00 - 03:00
"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",23,105,15.77952380952381,58.312473621827074,45.55258867813609,23:00 - 00:00
"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",4,120,11.51225,59.96741976088029,45.4308688326162,04:00 - 05:00
"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",8,107,14.763644859813084,58.54620338460731,45.41143582716904,08:00 - 09:00
"Ayyappa Temple Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",5,119,11.3681512605042,59.863650051346475,45.31500041409379,05:00 - 06:00
"BTP148 - 17th Main, Doopanahalli Bus Stop",9,66,28.17818181818182,52.57622593713982,45.25681270145242,09:00 - 10:00
"Outer Ring Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",23,74,24.458648648648648,53.98664090006188,45.128243224637906,23:00 - 00:00
"Saunders Road, Pulikeshi Nagar, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",21,119,10.628319327731091,59.863650051346475,45.09305083426186,21:00 - 22:00
"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",7,120,9.69875,59.96741976088029,44.8868188326162,07:00 - 08:00
"Mahatma Gandhi Road, WEBBS Circle Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",23,97,15.808659793814433,57.331250555941715,44.87447332730353,23:00 - 00:00
"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",4,108,12.415277777777776,58.661450082771736,44.78759839127355,04:00 - 05:00
BTP100 - Richmond Circle,22,111,10.866846846846848,59.00095088931464,44.560719676574294,22:00 - 23:00
"5th Cross Road, Rajath Greens, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",21,94,15.53595744680851,56.94248831378069,44.52052905368903,21:00 - 22:00
"Outer Ring Road, Sharadamma Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",21,61,27.97622950819672,51.60642395127076,44.51736561834855,21:00 - 22:00
"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",23,108,11.157592592592593,58.661450082771736,44.41029283571799,23:00 - 00:00
"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",6,114,9.310964912280703,59.33147704703201,44.325323406606614,06:00 - 07:00
"BTP127 - Sagar Hospital, Jayanagar",22,24,53.645,40.24939703116303,44.26807792181411,22:00 - 23:00
"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",0,114,8.734649122807017,59.33147704703201,44.15242866976451,00:00 - 01:00
"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2,98,12.581428571428571,57.45819761823785,43.99516690419506,02:00 - 03:00
"18th Cross Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2,98,12.404591836734692,57.45819761823785,43.9421158837869,02:00 - 03:00
"Outer Ring Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",19,64,24.63609375,52.19728244556987,43.928925836898905,19:00 - 20:00
"BTP024 - NPS, Vijayanagar",22,97,12.549484536082474,57.331250555941715,43.89672074998394,22:00 - 23:00
"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2,100,11.394300000000001,57.7082895195611,43.81409266369277,02:00 - 03:00
BTP091 - Sirsi Circle,21,78,18.424615384615382,54.636354736706515,43.77283293107917,21:00 - 22:00
BTP192 - Urvashi Theater,21,89,14.099213483146066,56.26642214233459,43.61625954457803,21:00 - 22:00
"7th Cross Road, Chikka Biddappa Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",20,79,17.2853164556962,54.793642071402985,43.541144386690945,20:00 - 21:00
BTP067 - Jai Muni Rao Circle,5,96,11.5675,57.20300144978171,43.51235101484719,05:00 - 06:00
BTP136 - Hosur-Tavarkere Road Junction,21,80,16.752125,54.94897547559542,43.48992033291679,21:00 - 22:00
"Whitefield Road, VR Mall, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",2,52,29.090576923076924,49.64523773287171,43.47883948993328,02:00 - 03:00
"ITPL Main Road, Pebble Creek, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",23,91,12.788131868131869,56.54125030936123,43.41531477699242,23:00 - 00:00
"Gangadhara Chetty Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",5,92,12.431195652173914,56.67643193121425,43.40286104750215,05:00 - 06:00
"Outer Ring Road, Citilights Liberty Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",21,88,13.447386363636365,56.126709200180045,43.32291234921694,21:00 - 22:00
"Unnamed Road, Jagajothi Nagar, Muthugada Halli, Bengaluru, Karnataka. Pin-562157 (India)",7,63,22.934761904761903,52.00341533373221,43.282819305041116,07:00 - 08:00
BTP041 - Gopal Gowda Circle,20,74,18.302432432432433,53.98664090006188,43.28137835977304,20:00 - 21:00
BTP118 - Basappa Circle,4,92,11.646847826086956,56.67643193121425,43.16755669967606,04:00 - 05:00
"Dickenson Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",5,85,13.393529411764707,55.69795251388299,43.0066255832475,05:00 - 06:00
"Outer Ring Road, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",21,84,13.512142857142857,55.551703148037944,42.93983506076941,21:00 - 22:00
"Outer Ring Road, Shilpitha Tech Park, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",2,72,17.716527777777777,53.64866956306222,42.86902702747689,02:00 - 03:00
"Midford Garden Lane, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",22,98,8.659693877551021,57.45819761823785,42.818646496031796,22:00 - 23:00
"Chikka Banavara RS Road, Prasad Enclave, Jalahalli, Bengaluru, Karnataka. Pin-560015 (India)",5,96,9.146666666666667,57.20300144978171,42.78610101484719,05:00 - 06:00
BTP076 - Hudson Circle,23,87,11.878390804597702,55.98541754730626,42.75330952449369,23:00 - 00:00
"Siddavanahalli Krishna Sharma Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",5,85,12.24894117647059,55.69795251388299,42.663249112659265,05:00 - 06:00
"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",3,91,10.116593406593406,56.54125030936123,42.61385323853088,03:00 - 04:00
"Chinmaya Mission Hospital Road, KFC Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",4,53,25.579622641509435,49.878967495651935,42.589164039409184,04:00 - 05:00
"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2,78,14.382948717948716,54.636354736706515,42.560332931079174,02:00 - 03:00
"Sri Venkataranga Ayangar Road, Mill Corner Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",3,82,12.80560975609756,55.2539705528757,42.519462313842254,03:00 - 04:00
"BTP186 - 9th Cross, 4th Main, Jayanagar",21,89,10.396516853932583,56.26642214233459,42.50545055581398,21:00 - 22:00
"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",5,83,12.336144578313252,55.40372298030276,42.4834494597059,05:00 - 06:00
"Outer Ring Road, Citilights Libery Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",0,75,15.0208,54.152261576109915,42.412823103276935,00:00 - 01:00
"Sri Venkataranga Ayangar Road, Shivanandappa Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",1,83,11.989518072289156,55.40372298030276,42.379461507898675,01:00 - 02:00
"Panathur Main Road, Mariyappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",23,53,24.789056603773584,49.878967495651935,42.35199422808842,23:00 - 00:00
"Hosapalya Main Road, S Nazir Sab Layout, HSR Layout, Bengaluru, Karnataka. Pin-560068 (India)",7,91,9.025824175824177,56.54125030936123,42.28662246930011,07:00 - 08:00
"BTP123 - 10th Cross, Wilson Garden",3,82,12.027073170731708,55.2539705528757,42.2859013382325,03:00 - 04:00
"Da Ra Bendre Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",5,78,13.435641025641026,54.636354736706515,42.276140623386866,05:00 - 06:00
"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",3,61,20.26983606557377,51.60642395127076,42.205447585561664,03:00 - 04:00
BTP167 - JC Road Junction,2,88,9.71125,56.126709200180045,42.20207144012603,02:00 - 03:00
"Mumbai Bengaluru Highway, Godrej Tiara, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",20,41,31.518536585365855,46.73648709134739,42.171101939552926,20:00 - 21:00
BTP126 - Dairy Circle,1,70,15.979571428571427,53.30130894217088,42.10478768809104,01:00 - 02:00
"Bellary Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",20,56,22.19946428571428,50.55503366709804,42.04836285268291,20:00 - 21:00
"Da Ra Bendre Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",4,75,13.700133333333333,54.152261576109915,42.016623103276935,04:00 - 05:00
"BTP115 - Sahasra Hospital, Jayanagar",21,74,13.978108108108106,53.98664090006188,41.984081062475745,21:00 - 22:00
"BTP163 - 16th Main Road, BTM Layout",6,80,11.609125,54.94897547559542,41.947020332916786,06:00 - 07:00
BTP140 - Madiwala Check Post,20,44,28.671136363636364,47.59918625337922,41.920771286456365,20:00 - 21:00
"Sahakar Nagar Road, L&T Realty Elara Celestia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",4,80,11.324,54.94897547559542,41.861482832916785,04:00 - 05:00
"8th Main Road, Veerannana Guda, Veerabhadra Nagar, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",21,81,10.840740740740742,55.102402900326005,41.823904252450426,21:00 - 22:00
"BTP099 - Cash Pharmacy, Residency Road",0,72,14.087083333333332,53.64866956306222,41.78019369414355,00:00 - 01:00
"5th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",23,75,12.867199999999999,54.152261576109915,41.76674310327694,23:00 - 00:00
"Outer Ring Road, Salarpuria Sattva Eminence, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",0,61,18.758524590163933,51.60642395127076,41.75205414293871,00:00 - 01:00
"BTP210 - 50th cross, 12th Main , Rajajinagar",22,75,12.567733333333335,54.152261576109915,41.676903103276935,22:00 - 23:00
"HAL Airport Road, SJR Spencer, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",22,64,16.92015625,52.19728244556987,41.61414458689891,22:00 - 23:00
"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",4,74,12.666891891891892,53.98664090006188,41.59071619761088,04:00 - 05:00
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",5,72,13.396527777777777,53.64866956306222,41.57302702747688,05:00 - 06:00
"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",4,75,12.140133333333333,54.152261576109915,41.54862310327694,04:00 - 05:00
"12th Main Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",8,47,25.515531914893618,48.40618742472033,41.53899077177231,08:00 - 09:00
"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",20,60,18.245166666666666,51.403099500092665,41.455719650064864,20:00 - 21:00
"Gnana Bharathi Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",6,80,9.498,54.94897547559542,41.31368283291679,06:00 - 07:00
"4th Main Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",5,73,12.12821917808219,53.81879706137395,41.31162369638642,05:00 - 06:00
"7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",0,74,11.575135135135135,53.98664090006188,41.26318917058386,00:00 - 01:00
BTP155 - Katriguppe Junction,4,69,13.182318840579711,53.123941738030055,41.141454868794945,04:00 - 05:00
BTP215 - Vanivillas Junction,6,69,13.000579710144928,53.123941738030055,41.086933129664516,06:00 - 07:00
"20th Main Road, Block G, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",8,51,21.666666666666668,49.407055707899104,41.08493899552937,08:00 - 09:00
"Siddavanahalli Krishna Sharma Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",1,71,12.103098591549296,53.47619540466382,41.06426636072946,01:00 - 02:00
"Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",2,77,9.704025974025974,54.47706368784259,41.0451523736976,02:00 - 03:00
"Robertson Road, Sri Ramakrishnappa Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",6,73,11.168219178082191,53.81879706137395,41.02362369638642,06:00 - 07:00
"5th Cross Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",21,61,15.914590163934426,51.60642395127076,40.89887381506986,21:00 - 22:00
