enforcement_zone,latitude,longitude,violation_count,frequency_score,avg_congestion_score,max_congestion_score,priority_score,risk_level,enforcement_demand_score,demand_percentage,cumulative_demand,allocation_weight,recommended_officers
BTP061 - Bhashyam Circle,12.985184338307276,77.55392274871211,1030,71.93387705149334,12.107805825242718,29.18,45.435280273319485,High,46.719364417156285,0.00035251281509475794,0.026613849752722907,0.001175799874055514,1
"BTP127 - Sagar Hospital, Jayanagar",12.927947021686748,77.59825148915664,83,45.93726757383664,35.46674698795181,90.09,51.626657883303864,Critical,46.68785861139328,0.00035227509353283386,0.02696612484625574,0.001175006958250466,1
"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",12.982564322372882,77.61065030542373,885,70.36247415808879,13.643107344632767,31.87,45.648169282434225,High,46.6614483575703,0.00035207581956927186,0.02731820066582501,0.001174342283687654,1
BTP208 - Havanur Circle,12.987954160845806,77.53755577344506,812,69.4710009224451,12.367758620689656,39.57,46.359828047429446,High,46.494766024586184,0.00035081814709962634,0.027669018812924637,0.001170147340786033,1
BTP118 - Basappa Circle,12.958166349617152,77.57756666983154,653,67.21474857447123,12.744027565084227,50.37,47.50458255676088,High,46.46552136373865,0.00035059748661225745,0.028019616299536896,0.0011694113318747323,1
"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",12.951544457140365,77.71745019378622,315,59.67366337976162,22.07006349206349,58.89,48.23585073749985,High,46.43403708109111,0.0003503599274492469,0.028369976226986143,0.0011686189577482103,1
"BTP026 - 1st Block Junction, Rajajinagar",13.002439084069982,77.55009351215469,1086,72.48224828513528,12.530405156537753,21.47,44.294245689528964,High,46.39787836161262,0.00035008709813847604,0.02872006332512462,0.0011677089407062574,1
"Whitefield Road, VR Mall, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",12.995777697950553,77.69502734215591,290,58.81917054773408,23.239724137931034,58.86,48.15350251524635,High,46.37044724952961,0.00034988012146697814,0.029069943446591598,0.001167018573905793,1
BTP130 - GD Mara Junction,12.908069876703646,77.60081684453249,631,66.85998792149059,12.061600633914422,52.47,47.54247415091962,High,46.241553578689874,0.0003489075767561831,0.02941885102334778,0.0011637746692887117,1
"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",12.979139531440833,77.69519236859317,148,51.8792879094744,25.193175675675676,88.39,51.1755966574399,Critical,46.19021983669741,0.0003485202469599655,0.029767371270307746,0.0011624827380280335,1
"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",12.999358996856463,77.57135012893059,885,70.36247415808879,12.857197740112996,29.76,44.99039640107829,High,46.17537999598838,0.00034840827553036326,0.03011577954583811,0.0011621092594275783,1
BTP071 - Prasanna Junction,12.974369503954971,77.55203424621543,721,68.24029602441962,11.757836338418862,45.14,46.67549891373547,High,46.161405531877385,0.0003483028336489365,0.030464082379487046,0.0011617575600124282,1
"BTP170 - Dr. Bheem Rao Palace, Chord Road",12.99037199306623,77.551225814101,573,65.86199556983128,15.627068062827224,41.83,45.985118203763804,High,45.87657138539673,0.0003461536672794099,0.030810236046766457,0.0011545890559512796,1
BTP192 - Urvashi Theater,12.95650754928,77.58603276544001,625,66.76109043283648,13.947695999999999,41.87,45.93885401641824,High,45.78729333806006,0.000345480035345726,0.03115571608211218,0.0011523421692882447,1
"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",12.982814620448549,77.61131612836412,758,68.75843755894292,13.434261213720317,31.76,44.76149714358755,High,45.69513208222071,0.0003447846486651943,0.03150050073077738,0.0011500227200756839,1
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",12.979911838377566,77.5546504141,425,62.77045810870503,14.10465882352941,61.46,47.908626701411336,High,45.606382548023056,0.00034411500453521393,0.03184461573531259,0.0011477891346570056,1
"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.949904745753646,77.69962585131009,432,62.939434429931005,21.544421296296296,33.58,44.649043603854395,High,45.515236390165754,0.0003434272770994453,0.032188043012412036,0.0011454952327115007,1
"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",12.973441074307305,77.61554197380353,397,62.065587468313424,15.461083123425693,58.26,47.32311867118442,High,45.37345220077137,0.0003423574692293496,0.03253040048164139,0.0011419269086533129,1
"Goshala Road, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India",12.9804847,77.6949714,5,18.57637945838152,77.67,77.67,48.123189729190756,High,45.16850870210983,0.0003408111038078625,0.03287121158544925,0.001136769035832889,1
"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.005500115284361,77.56918188056872,844,69.87125037575092,12.714763033175355,22.3,43.21005409782806,High,45.10935476827437,0.0003403647681181456,0.0332115763535674,0.0011352802915226587,1
"BTP024 - NPS, Vijayanagar",12.98291347845193,77.54882366500652,632,66.87637950558259,12.920537974683544,37.64,44.84235114519635,High,45.06819701920966,0.00034005421950159724,0.033551630573068994,0.0011342444624447073,1
"Ronald Colaco Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",13.191116218394649,77.64601309598663,299,59.13496170494854,20.41010033444816,53.93,46.47651095280872,High,45.06076405477855,0.0003399981353649914,0.033891628708433985,0.0011340573948603984,1
"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",12.975739353721512,77.55881995757639,663,67.37207594516515,11.578446455505278,39.44,45.04757190923416,High,45.051098029267685,0.00033992520205551423,0.0342315539104895,0.0011338141271764288,1
"Da Ra Bendre Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.012132157142856,77.55253695496368,413,62.47421867587807,13.39087167070218,58.98,47.050370839149686,High,44.9456253564787,0.00033912937640025853,0.03457068328688976,0.0011311596656500636,1
"Outer Ring Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",13.000217324543165,77.6761745762879,301,59.203850162908026,20.78176079734219,50.76,45.988453320656674,High,44.91173386866919,0.0003388736540905797,0.03490955694098034,0.0011303067086889593,1
BTP028 - Vijayanagar Bus Stand Junction,12.972568562228885,77.53806133053999,754,68.70365447359809,12.35558355437666,27.16,43.490502303112045,High,44.82746420451079,0.00033823781203857063,0.03524779475301891,0.0011281858694665028,1
"Sahakar Nagar Road, Olivia, Raintree Boulevard, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.071413628785285,77.58827065030198,944,71.03085717610287,10.16627118644068,21.34,42.833309943983636,High,44.75916636211081,0.0003377224825817239,0.03558551723560063,0.0011264669977418124,1
"BTP206 - Shankara Mutt Circle, Vijayanagar",12.998620176634214,77.54142142920723,719,68.21153685264,11.294172461752435,32.78,44.05002016484573,High,44.74730563056535,0.00033763298950067853,0.035923150225101314,0.001126168495250793,1
"BTP202 - East End Main Road, Jayanagar",12.917186653521128,77.59701229788732,142,51.4531591031123,21.60161971830986,88.38,49.88306546704911,High,44.69780440812022,0.00033725948666106466,0.03626040971176238,0.0011249226835441765,1
"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",12.93007687103064,77.68510569541408,330,60.15447634268028,19.85639393939394,46.55,45.344156353158326,High,44.689699867262036,0.0003371983352616693,0.03659760804702405,0.0011247187142000039,1
"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",12.841880077777777,77.64578886600529,756,68.73108220064901,11.35883597883598,28.58,43.4891918939753,High,44.63568780294955,0.00033679079665155755,0.03693439884367561,0.0011233593768201317,1
BTP172 - Nanjappa Circle,12.961702129381443,77.59948909484535,776,69.0014410607906,11.90639175257732,24.71,43.014638056168494,High,44.589029696836896,0.0003364387460503143,0.03727083758972592,0.0011221851186516971,1
"BTP179 - 9th Block, 28th Main, Jayanagar",12.91695609,77.59508601818183,110,48.82687748706442,24.878363636363634,88.35,49.5469478344413,High,44.3972098906127,0.00033499140316098786,0.03760582899288691,0.001117357533627511,1
"BTP189 - New Diagonal Road, Jayanagar",12.928112280564784,77.58069761295681,602,66.37299545500859,12.638372093023255,32.67,43.51200935541127,High,44.19557773281287,0.0003334700228843858,0.0379392990157713,0.0011122829982885944,1
"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",12.96468655435746,77.71820800930576,677,67.58839891496936,12.74980797636632,24.62,42.543141850394576,High,44.09805219496136,0.0003327341609496065,0.038272033176720906,0.001109828544625674,1
"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",13.097203296339114,77.5995107265896,519,64.83766323927188,15.317360308285163,30.13,43.040039712121484,High,44.034790889499334,0.0003322568338037175,0.03860429001052462,0.0011082364288954453,1
"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.935355976315016,77.69018986419634,434,62.987211817609754,13.694516129032259,45.58,44.71796074751455,High,43.994047144846654,0.00033194940898524666,0.03893623941950987,0.001107211019187312,1
"BTP099 - Cash Pharmacy, Residency Road",12.969120946131804,77.60030236275072,349,60.73314582029319,16.583724928366763,47.62,44.865690388656624,High,43.969533926089625,0.00033176444876888074,0.03926800386827875,0.00110659408785944,1
"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.011736629450915,77.55185498635608,601,66.3557876920897,12.917188019966721,29.5,42.95305025203487,High,43.966699037637696,0.0003317430586125476,0.0395997469268913,0.0011065227413947284,1
BTP076 - Hudson Circle,12.968029834285714,77.58880913494505,455,63.47601428318479,12.50087912087912,46.66,44.82027087785613,High,43.95311554805933,0.0003316405667612603,0.039931387493652555,0.0011061808817497026,1
"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",12.969667507253277,77.57560803132843,613,66.56041949510505,11.937177814029363,31.27,43.11536309176133,High,43.91324295721805,0.0003313397150819207,0.04026272720873447,0.0011051773966236887,1
"BTP204 - ESI Hospital, Rajajinagar",12.990358886677116,77.55373500799372,638,66.97418848362861,12.286379310344827,27.06,42.58500803491775,High,43.842036424616424,0.00033080243861051135,0.040593529647344986,0.0011033853210441207,1
BTP041 - Gopal Gowda Circle,12.977295857671956,77.59026518835978,378,61.558444360285414,15.784074074074073,41.65,43.84444440236493,High,43.5465703240829,0.0003285730506861779,0.04092210269803116,0.0010959492394935887,1
"Outer Ring Road, Doddanakundi Junction, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",12.97957556734694,77.69487101428571,49,40.55858224656703,34.42326530612245,91.83,48.972270715120246,High,43.53836309275472,0.0003285111244537532,0.04125061382248492,0.0010957426857083992,1
BTP068 - Veeresh Theatre Junction,12.977227481944444,77.54562137718254,504,64.53419743493986,11.940575396825396,38.23,43.49527133651755,High,43.4960099781058,0.0003281915564146932,0.04157880537889961,0.0010946767725160576,1
